axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:ugrd_m
34.25,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,7.50662088394165
34.25,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.26337888836860657
34.25,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.356621026992798
34.25,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.7466211318969727
34.25,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.2066210508346558
34.25,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.7466211318969727
34.25,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4566210508346558
34.25,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.466621071100235
34.25,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.1566210836172104
34.25,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4666210412979126
34.25,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4266210794448853
34.25,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.003378906287252903
34.0,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.446620941162109
34.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.436621189117432
34.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.616621017456055
34.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,7.016621112823486
34.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,9.516620635986328
34.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,9.116621017456055
34.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,6.28662109375
34.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.8066210746765137
34.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.3266210556030273
34.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8266210556030273
34.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.03662109375
34.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.6566210985183716
34.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8866209983825684
34.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.5066211223602295
34.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.346621036529541
34.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.6866209506988525
34.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.6266210079193115
33.75,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.526620864868164
33.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.28662109375
33.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.366621017456055
33.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,6.16662073135376
33.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,8.426620483398438
33.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,8.69662094116211
33.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,8.056620597839355
33.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,8.296621322631836
33.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.416621208190918
33.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.086620807647705
33.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.656620979309082
33.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.596621036529541
33.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.216620922088623
33.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.8266210556030273
33.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.6166210174560547
33.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.6366209983825684
33.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.356621026992798
33.5,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.916621208190918
33.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.616621017456055
33.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.00662088394165
